Algorithm,afrd__0.0__mean,afrd__0.1__mean,afrd__0.2__mean,afrd__0.3__mean,f1__0.0__mean,f1__0.1__mean,f1__0.2__mean,f1__0.3__mean,hamming_accuracy__0.0__mean,hamming_accuracy__0.1__mean,hamming_accuracy__0.2__mean,hamming_accuracy__0.3__mean,mfrd__0.0__mean,mfrd__0.1__mean,mfrd__0.2__mean,mfrd__0.3__mean,subset0_1__0.0__mean,subset0_1__0.1__mean,subset0_1__0.2__mean,subset0_1__0.3__mean
PartialOrder__Hamming__2,83.09,86.67,86.56,85.47,18.07,17.33,16.83,16.92,16.58,15.43,14.98,15.94,94.24,96.67,97.2,95.92,1.54,0.15,0.05,0.0
PartialOrder__Hamming__None,83.22,86.68,86.62,85.52,18.14,17.32,16.84,16.92,16.58,15.42,14.97,15.91,94.24,96.67,97.2,95.92,1.54,0.15,0.05,0.0
PartialOrder__Subset__2,83.09,86.67,86.59,85.41,18.07,17.33,16.83,16.91,16.58,15.43,14.98,15.92,94.24,96.64,97.2,95.92,1.54,0.15,0.05,0.0
PartialOrder__Subset__None,83.22,86.69,86.67,85.45,18.14,17.32,16.86,16.91,16.58,15.42,14.98,15.9,94.24,96.64,97.2,95.92,1.54,0.15,0.05,0.0
PreOrder__Hamming__2,83.26,81.41,71.3,44.07,18.35,17.99,17.49,18.61,16.85,18.09,21.73,34.5,93.99,94.23,90.92,81.05,1.74,0.87,0.26,0.15
PreOrder__Hamming__None,82.8,80.63,71.02,44.61,18.42,18.01,17.64,18.59,17.09,18.34,22.27,34.71,93.39,93.58,90.66,80.92,1.74,0.77,0.2,0.05
PreOrder__Subset__2,83.07,81.29,71.19,43.55,18.38,17.97,17.52,18.49,16.96,18.1,21.84,34.39,93.84,94.2,90.91,80.25,1.74,0.87,0.26,0.15
PreOrder__Subset__None,82.72,80.85,70.54,44.28,18.43,18.01,17.63,18.43,17.11,18.3,22.27,34.56,93.39,93.97,90.82,80.5,1.84,0.77,0.2,0.05
br,98.11,97.78,96.94,93.69,4.91,4.89,5.68,7.55,91.24,91.17,91.04,89.84,100.0,100.0,100.0,100.0,4.91,4.76,5.27,5.83
cc,97.84,97.38,96.17,91.7,4.81,5.27,7.4,9.82,91.24,91.08,91.06,89.82,100.0,100.0,100.0,99.84,4.81,5.17,6.85,7.57
clr,100.0,99.9,99.77,99.26,0.0,0.26,0.61,1.38,91.01,91.01,91.04,91.04,100.0,100.0,100.0,100.0,0.0,0.26,0.61,1.38
